,project,group,sample,group_idx,type
177,fair,prostate,131,130,HE
178,fair,prostate,132,131,HE
179,fair,prostate,133,132,HE
180,fair,prostate,134,133,HE
181,fair,prostate,135,134,HE
182,fair,prostate,136,135,HE
183,fair,prostate,137,136,HE
184,fair,prostate,138,137,HE
185,fair,prostate,139,138,HE
186,fair,prostate,140,139,HE
187,fair,prostate,141,140,HE
188,fair,prostate,142,141,HE
189,fair,prostate,143,142,HE
190,fair,prostate,144,143,HE
191,fair,prostate,145,144,HE
192,fair,prostate,146,145,HE
193,fair,prostate,147,146,HE
194,fair,prostate,148,147,HE
195,fair,prostate,149,148,HE
196,fair,prostate,150,149,HE
197,fair,prostate,151,150,HE
198,fair,prostate,152,151,HE
199,fair,prostate,153,152,HE
200,fair,prostate,154,153,HE
201,fair,prostate,155,154,HE
202,fair,prostate,156,155,HE
203,fair,prostate,157,156,HE
204,fair,prostate,158,157,HE
205,fair,prostate,159,158,HE
206,fair,prostate,160,159,HE
207,fair,prostate,161,160,HE
208,fair,prostate,162,161,HE
209,fair,prostate,163,162,HE
210,fair,prostate,164,163,HE
211,fair,prostate,165,164,HE
212,fair,prostate,166,165,HE
213,fair,prostate,167,166,HE
214,fair,prostate,168,167,HE
215,fair,prostate,169,168,HE
216,fair,prostate,170,169,HE
217,fair,prostate,171,170,HE
218,fair,prostate,172,171,HE
219,fair,prostate,173,172,HE
220,fair,prostate,174,173,HE
221,fair,prostate,175,174,HE
222,fair,prostate,176,175,HE
223,fair,prostate,177,176,HE
224,fair,prostate,178,177,HE
225,fair,prostate,179,178,HE
226,fair,prostate,180,179,HE
227,fair,prostate,181,180,HE
228,fair,prostate,182,181,HE
229,fair,prostate,183,182,HE
230,fair,prostate,184,183,HE
231,fair,prostate,185,184,HE
232,fair,prostate,186,185,HE
233,fair,prostate,187,186,HE
234,fair,prostate,188,187,HE
235,fair,prostate,189,188,HE
236,fair,prostate,190,189,HE
237,fair,prostate,191,190,HE
238,fair,prostate,192,191,HE
239,fair,prostate,193,192,HE
240,fair,prostate,194,193,HE
241,fair,prostate,195,194,HE
242,fair,prostate,196,195,HE
243,fair,prostate,197,196,HE
244,fair,prostate,198,197,HE
245,fair,prostate,199,198,HE
246,fair,prostate,200,199,HE
247,fair,prostate,201,200,HE
248,fair,prostate,202,201,HE
249,fair,prostate,203,202,HE
250,fair,prostate,204,203,HE
251,fair,prostate,205,204,HE
252,fair,prostate,206,205,HE
253,fair,prostate,207,206,HE
254,fair,prostate,208,207,HE
255,fair,prostate,209,208,HE
256,fair,prostate,210,209,HE
257,fair,prostate,211,210,HE
258,fair,prostate,212,211,HE
259,fair,prostate,213,212,HE
260,fair,prostate,214,213,HE
261,fair,prostate,215,214,HE
262,fair,prostate,216,215,HE
263,fair,prostate,217,216,HE
264,fair,prostate,218,217,HE
265,fair,prostate,219,218,HE
266,fair,prostate,220,219,HE
267,fair,prostate,221,220,HE
268,fair,prostate,222,221,HE
269,fair,prostate,223,222,HE
270,fair,prostate,224,223,HE
271,fair,prostate,225,224,HE
272,fair,prostate,226,225,HE
273,fair,prostate,227,226,HE
274,fair,prostate,228,227,HE
275,fair,prostate,229,228,HE
276,fair,prostate,230,229,HE
277,fair,prostate,231,230,HE
278,fair,prostate,232,231,HE
279,fair,prostate,233,232,HE
280,fair,prostate,234,233,HE
281,fair,prostate,235,234,HE
282,fair,prostate,236,235,HE
283,fair,prostate,237,236,HE
284,fair,prostate,238,237,HE
285,fair,prostate,239,238,HE
286,fair,prostate,240,239,HE
287,fair,prostate,241,240,HE
288,fair,prostate,242,241,HE
289,fair,prostate,243,242,HE
290,fair,prostate,244,243,HE
291,fair,prostate,245,244,HE
292,fair,prostate,246,245,HE
293,fair,prostate,247,246,HE
294,fair,prostate,248,247,HE
295,fair,prostate,249,248,HE
296,fair,prostate,250,249,HE
297,fair,prostate,251,250,HE
298,fair,prostate,252,251,HE
299,fair,prostate,253,252,HE
300,fair,prostate,254,253,HE
301,fair,prostate,255,254,HE
302,fair,prostate,256,255,HE
303,fair,prostate,257,256,HE
304,fair,prostate,258,257,HE
305,fair,prostate,259,258,HE
306,fair,prostate,260,259,HE
